date (D/M/YYYY),station_id,station_name,forecasted_temp,Crop,Temp_Min,Temp_Max,suitability
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Grapes,15,30,1
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Corn,18,27,0
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Avocados,20,30,0
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Berries,10,25,1
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Tomatoes,18,30,0
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Capsicums,20,30,0
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Carrots,16,24,1
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Potatoes,15,20,1
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Wheat,15,25,1
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Cotton,20,35,0
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Grapes,15,30,1
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Corn,18,27,0
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Avocados,20,30,0
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Berries,10,25,1
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Tomatoes,18,30,0
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Capsicums,20,30,0
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Carrots,16,24,1
26/01/2025,91375,Creesy (Brumbys Creek),17.396666666666682,Potatoes,15,20,1
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Wheat,15,25,1
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Cotton,20,35,0
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Grapes,15,30,1
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Corn,18,27,0
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Avocados,20,30,0
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Berries,10,25,1
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Tomatoes,18,30,0
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Capsicums,20,30,0
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Carrots,16,24,1
27/01/2025,91375,Creesy (Brumbys Creek),17.045666666666662,Potatoes,15,20,1
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Wheat,15,25,1
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Cotton,20,35,0
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Grapes,15,30,1
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Corn,18,27,1
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Avocados,20,30,0
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Berries,10,25,1
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Tomatoes,18,30,1
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Capsicums,20,30,0
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Carrots,16,24,1
28/01/2025,91375,Creesy (Brumbys Creek),18.16233333333336,Potatoes,15,20,1
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Wheat,15,25,1
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Cotton,20,35,0
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Grapes,15,30,1
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Corn,18,27,1
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Avocados,20,30,0
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Berries,10,25,1
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Tomatoes,18,30,1
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Capsicums,20,30,0
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Carrots,16,24,1
29/01/2025,91375,Creesy (Brumbys Creek),19.113000000000035,Potatoes,15,20,1
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Wheat,15,25,1
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Cotton,20,35,0
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Grapes,15,30,1
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Corn,18,27,0
